n,time,ln(n)
79100000,1166,1523.717436
79200000,1500,1523.899709
79300000,1708,1524.081753
79400000,1417,1524.263567
79500000,1625,1524.445152
79600000,625,1524.626509
79700000,1584,1524.807639
79800000,1625,1524.988541
79900000,2166,1525.169217
80000000,1834,1525.349666
80100000,1542,1525.529891
80200000,1000,1525.70989
80300000,1083,1525.889665
80400000,1416,1526.069217
80500000,2083,1526.248545
80600000,1458,1526.42765
80700000,1375,1526.606534
80800000,917,1526.785196
80900000,1167,1526.963637
81000000,1500,1527.141857
81100000,1000,1527.319858
81200000,1375,1527.497639
81300000,1208,1527.675202
81400000,917,1527.852546
81500000,1709,1528.029672
81600000,1541,1528.206582
81700000,1541,1528.383274
81800000,1166,1528.559751
81900000,1542,1528.736012
82000000,1375,1528.912057
82100000,750,1529.087889
82200000,1417,1529.263506
82300000,1542,1529.438909
82400000,666,1529.6141
82500000,1958,1529.789078
82600000,1250,1529.963845
82700000,791,1530.138399
82800000,1583,1530.312743
82900000,1541,1530.486877
83000000,1250,1530.6608
83100000,1458,1530.834514
83200000,1250,1531.008019
83300000,1167,1531.181316
83400000,1250,1531.354405
83500000,1125,1531.527286
83600000,1208,1531.699961
83700000,1667,1531.872429
83800000,1750,1532.044691
83900000,1291,1532.216747
84000000,1333,1532.388599
84100000,833,1532.560246
84200000,1208,1532.73169
84300000,917,1532.90293
84400000,1666,1533.073966
84500000,1167,1533.244801
84600000,1208,1533.415433
84700000,1208,1533.585863
84800000,1458,1533.756093
84900000,1791,1533.926122
85000000,1417,1534.095951
85100000,1042,1534.26558
85200000,1500,1534.435009
85300000,1458,1534.604241
85400000,1333,1534.773273
85500000,1667,1534.942108
85600000,1375,1535.110746
85700000,1375,1535.279187
85800000,1542,1535.447431
85900000,1375,1535.61548
86000000,1458,1535.783332
86100000,1375,1535.95099
86200000,958,1536.118453
86300000,750,1536.285722
86400000,1458,1536.452798
86500000,1625,1536.61968
86600000,1375,1536.786369
86700000,1167,1536.952866
86800000,1334,1537.119171
86900000,1167,1537.285284
87000000,1208,1537.451207
87100000,875,1537.616938
87200000,1084,1537.78248
87300000,1167,1537.947832
87400000,1375,1538.112994
87500000,1708,1538.277968
87600000,1375,1538.442753
87700000,958,1538.607351
87800000,709,1538.77176
87900000,1292,1538.935983
88000000,1250,1539.100019
88100000,1416,1539.263868
88200000,1167,1539.427532
88300000,1333,1539.59101
88400000,1375,1539.754303
88500000,1666,1539.917412
88600000,1875,1540.080336
88700000,1708,1540.243077
88800000,1417,1540.405634
88900000,1416,1540.568008
89000000,1416,1540.7302
89100000,708,1540.89221
89200000,1833,1541.054037
89300000,1833,1541.215684
89400000,1667,1541.37715
89500000,1417,1541.538435
89600000,1542,1541.69954
89700000,1542,1541.860465
89800000,1625,1542.021211
89900000,1333,1542.181778
90000000,1750,1542.342167
90100000,1334,1542.502377
90200000,834,1542.66241
90300000,1000,1542.822265
90400000,1792,1542.981944
90500000,1667,1543.141446
90600000,958,1543.300771
90700000,1542,1543.459921
90800000,1000,1543.618896
90900000,1458,1543.777696
91000000,1750,1543.936321
91100000,1500,1544.094772
91200000,1542,1544.253049
91300000,750,1544.411152
91400000,1500,1544.569083
91500000,1250,1544.726841
91600000,1125,1544.884426
91700000,1542,1545.04184
91800000,1666,1545.199082
91900000,1500,1545.356153
92000000,708,1545.513053
92100000,1667,1545.669782
92200000,1084,1545.826341
92300000,1542,1545.982731
92400000,1250,1546.138952
92500000,1041,1546.295003
92600000,1583,1546.450886
92700000,1708,1546.6066
92800000,1584,1546.762147
92900000,1417,1546.917526
93000000,1167,1547.072738
93100000,542,1547.227783
93200000,1542,1547.382662
93300000,1000,1547.537375
93400000,1000,1547.691921
93500000,917,1547.846303
93600000,1375,1548.000519
93700000,1791,1548.154571
93800000,1292,1548.308459
93900000,1458,1548.462182
94000000,1292,1548.615742
94100000,1250,1548.769139
94200000,1417,1548.922372
94300000,1417,1549.075444
94400000,1750,1549.228352
94500000,1666,1549.381099
94600000,1875,1549.533685
94700000,1250,1549.686109
94800000,1375,1549.838372
94900000,1333,1549.990475
95000000,1500,1550.142418
95100000,1333,1550.294201
95200000,1167,1550.445824
95300000,958,1550.597288
95400000,1334,1550.748593
95500000,1667,1550.89974
95600000,1667,1551.050728
95700000,1292,1551.201559
95800000,1625,1551.352232
95900000,1542,1551.502748
96000000,1458,1551.653107
96100000,1458,1551.80331
96200000,1791,1551.953356
96300000,1917,1552.103246
96400000,1625,1552.252981
96500000,1167,1552.402561
96600000,1625,1552.551985
96700000,1167,1552.701255
96800000,1458,1552.850371
96900000,1708,1552.999333
97000000,1167,1553.148141
97100000,1583,1553.296796
97200000,667,1553.445298
97300000,1750,1553.593647
97400000,1084,1553.741844
97500000,1834,1553.889888
97600000,1375,1554.037781
97700000,1542,1554.185523
97800000,1375,1554.333113
97900000,1500,1554.480552
98000000,1667,1554.627841
